id,ngành,học phí,tổ hợp xét tuyển,điểm chuẩn
1,Công nghệ Phần mềm,11.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Toán – Lý - Ngoại ngữ (A01), Văn – Toán - Ngoại ngữ (D01)",29
2,Thiết kế Games và Multimedia,12.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Toán – Lý - Ngoại ngữ (A01), Văn – Toán - Ngoại ngữ (D01)",28
3,An toàn Thông tin,13.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Toán – Lý - Ngoại ngữ (A01), Văn – Toán - Ngoại ngữ (D01)",23
4,Khoa học Máy tính,14.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Toán – Lý - Ngoại ngữ (A01), Văn – Toán - Ngoại ngữ (D01)",23
5,Trí tuệ Nhân tạo (HP),10.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Toán – Lý - Ngoại ngữ (A01), Văn – Toán - Ngoại ngữ (D01)",21
6,Khoa học Dữ liệu,11.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Toán – Lý - Ngoại ngữ (A01), Văn – Toán - Ngoại ngữ (D01)",20
7,Big Data & Machine Learning (HP),11.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Toán – Lý - Ngoại ngữ (A01), Văn – Toán - Ngoại ngữ (D01)",26
8,Kỹ thuật Mạng,11.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Toán – Lý - Ngoại ngữ (A01), Văn – Toán - Ngoại ngữ (D01)",26
9,Mạng Máy tính & Truyền thông Dữ liệu,11.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Toán – Lý - Ngoại ngữ (A01), Văn – Toán - Ngoại ngữ (D01)",24
10,Kỹ thuật Máy tính,11.520.000,"Toán – Lý - Hoá (A00), Toán – Lý - Ngoại ngữ (A01), Văn – Toán - Lý (C01), Văn – Toán - Ngoại ngữ (D01)",29
11,Điện Tự động,12.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Toán – Lý - Ngoại ngữ (A01), Văn – Toán - Ngoại ngữ (D01)",25
12,Điện tử - Viễn thông,12.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Toán – Lý - Ngoại ngữ (A01), Văn – Toán - Ngoại ngữ (D01)",28
13,Điện - Điện tử chuẩn PNU,12.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Toán – Lý - Ngoại ngữ (A01), Văn – Toán - Ngoại ngữ (D01)",24
14,Thiết kế Vi mạch Bán dẫn,12.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Toán – Lý - Ngoại ngữ (A01), Văn – Toán - Ngoại ngữ (D01)",28
15,Công nghệ Kỹ thuật Ô tô,12.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Toán – Lý - Ngoại ngữ (A01), Văn – Toán - Ngoại ngữ (D01)",21
16,Điện Cơ Ô tô,12.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Toán – Lý - Ngoại ngữ (A01), Văn – Toán - Ngoại ngữ (D01)",23
17,Kỹ thuật Điều khiển và Tự động hóa,13.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Toán – Lý - Ngoại ngữ (A01), Văn – Toán - Ngoại ngữ (D01)",26
18,Cơ điện tử chuẩn PNU,13.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Toán – Lý - Ngoại ngữ (A01), Văn – Toán - Ngoại ngữ (D01)",29
19,Kỹ thuật Điện,13.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Toán – Lý - Ngoại ngữ (A01), Văn – Toán - Ngoại ngữ (D01)",23
20,Thiết kế Đồ họa,13.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Toán – Lý - Ngoại ngữ (A01), Văn – Toán - Ngoại ngữ (D01)",29
21,Thiết kế Thời trang,13.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Toán – Lý - Ngoại ngữ (A01), Văn – Toán - Ngoại ngữ (D01)",20
22,Kiến trúc Công trình,13.520.000,"Toán – Lý - Vẽ (V00), Toán – Văn - Vẽ (V01), Toán – KHXH - Vẽ (M02), Toán – KHTN - Vẽ (M04)",26
23,Thiết kế Nội thất,13.520.000,"Toán – Lý - Vẽ (V00), Toán – Văn - Vẽ (V01), Toán – KHXH - Vẽ (M02), Toán – KHTN - Vẽ (M04)",25
24,Xây dựng Dân dụng & Công nghiệp,13.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Văn - Toán – Lý (C01), Văn – Toán - Ngoại ngữ (D01)",29
25,Xây dựng Cầu đường,10.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Văn - Toán – Lý (C01), Văn – Toán - Ngoại ngữ (D01)",20
26,Công nghệ Quản lý Xây dựng,10.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Văn - Toán – Lý (C01), Văn – Toán - Ngoại ngữ (D01)",25
27,Công nghệ & Kỹ thuật Môi trường,10.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Toán – Hoá - Sinh (B00), Văn – Toán - Hoá (C02)",26
28,Công nghệ Thực phẩm,10.520.000,"Toán – Lý - Hoá (A00), Toán – Lý - Ngoại ngữ (A01), Toán – Hoá - Sinh (B00), Văn - Toán – Lý (C01)",24
29,Quản lý Tài nguyên & Môi trường,10.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Toán – Hoá - Sinh (B00), Văn – Toán - KHXH (C15)",29
30,Công nghệ Chế tạo Máy,10.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Văn - Toán – Lý (C01), Văn – Toán - Ngoại ngữ (D01)",24
31,Quản trị Kinh doanh Tổng hợp,10.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Văn - Toán – Lý (C01), Văn – Toán - Ngoại ngữ (D01)",28
32,Quản trị Kinh doanh Bất động sản,10.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Văn - Toán – Lý (C01), Văn – Toán - Ngoại ngữ (D01)",22
33,Quản trị Kinh doanh Quốc tế (Ngoại thương),10.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Văn - Toán – Lý (C01), Văn – Toán - Ngoại ngữ (D01)",29
34,Phân tích Kinh doanh (Business Analytics),14.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Văn - Toán – Lý (C01), Văn – Toán - Ngoại ngữ (D01)",20
35,Thương mại Điện tử,14.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Văn - Toán – Lý (C01), Văn – Toán - Ngoại ngữ (D01)",29
36,Quản trị Nhân lực,14.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Văn - Toán – Lý (C01), Văn – Toán - Ngoại ngữ (D01)",26
37,Logistics & Quản lý Chuỗi cung ứng,14.520.000,"Toán – Lý - Hoá (A00), Toán -  KHTN - Văn (A16), Văn - Toán – Lý (C01), Văn – Toán - Ngoại ngữ (D01)",29
